bin,bin_lower,bin_upper,count,confidence,accuracy,gap,dataset,subject,method,method_label,source_file
7,0.7000000000000001,0.8,3,0.7387703808304406,0.6666666666666666,0.07210371416377392,BCI IIIa,k3b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
8,0.8,0.9,7,0.8381702681381633,0.5714285714285714,0.2667416967095919,BCI IIIa,k3b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
9,0.9,1.0,47,0.9848914782061772,0.9361702127659575,0.04872126544021971,BCI IIIa,k3b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk3b_probabilities.npz
0,0.0,0.1,0,,,,BCI IIIa,k6b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
1,0.1,0.2,0,,,,BCI IIIa,k6b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
2,0.2,0.30000000000000004,0,,,,BCI IIIa,k6b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
3,0.30000000000000004,0.4,8,0.36103461373712664,0.5,0.13896538626287336,BCI IIIa,k6b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
4,0.4,0.5,9,0.4462016334346257,0.4444444444444444,0.001757188990181291,BCI IIIa,k6b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
5,0.5,0.6000000000000001,10,0.5624106822417358,0.7,0.1375893177582641,BCI IIIa,k6b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
6,0.6000000000000001,0.7000000000000001,4,0.6797368022596628,1.0,0.3202631977403372,BCI IIIa,k6b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
7,0.7000000000000001,0.8,5,0.7411037860726093,1.0,0.2588962139273907,BCI IIIa,k6b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
8,0.8,0.9,3,0.8176778431176421,1.0,0.18232215688235787,BCI IIIa,k6b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
9,0.9,1.0,3,0.9723705769693662,1.0,0.02762942303063376,BCI IIIa,k6b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
0,0.0,0.1,0,,,,BCI IIIa,l1b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
1,0.1,0.2,0,,,,BCI IIIa,l1b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
2,0.2,0.30000000000000004,1,0.2849794924259186,0.0,0.2849794924259186,BCI IIIa,l1b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
3,0.30000000000000004,0.4,5,0.3672875320397641,0.6,0.23271246796023587,BCI IIIa,l1b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
4,0.4,0.5,6,0.456572112808983,0.5,0.04342788719101698,BCI IIIa,l1b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
5,0.5,0.6000000000000001,10,0.5489067693599585,0.8,0.2510932306400415,BCI IIIa,l1b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
6,0.6000000000000001,0.7000000000000001,11,0.6444414884337013,0.8181818181818182,0.17374032974811693,BCI IIIa,l1b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
7,0.7000000000000001,0.8,6,0.7517177160456869,0.8333333333333334,0.08161561728764644,BCI IIIa,l1b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
8,0.8,0.9,2,0.8186566439870158,1.0,0.18134335601298424,BCI IIIa,l1b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
9,0.9,1.0,1,0.9919059014456999,1.0,0.0080940985543001,BCI IIIa,l1b,teacher_student_mixture,Teacher/student,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
0,0.0,0.1,0,,,,BCI IV-2a,1,augmentation,Augmentation,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject1_probabilities.npz
1,0.1,0.2,0,,,,BCI IV-2a,1,augmentation,Augmentation,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject1_probabilities.npz
2,0.2,0.30000000000000004,0,,,,BCI IV-2a,1,augmentation,Augmentation,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject1_probabilities.npz
3,0.30000000000000004,0.4,0,,,,BCI IV-2a,1,augmentation,Augmentation,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject1_probabilities.npz
4,0.4,0.5,1,0.4703831018268597,0.0,0.4703831018268597,BCI IV-2a,1,augmentation,Augmentation,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject1_probabilities.npz
5,0.5,0.6000000000000001,37,0.5569698389270958,0.5405405405405406,0.01642929838655527,BCI IV-2a,1,augmentation,Augmentation,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject1_probabilities.npz
6,0.6000000000000001,0.7000000000000001,33,0.650498642732739,0.6363636363636364,0.014135006369102698,BCI IV-2a,1,augmentation,Augmentation,results/calibration_workflow/probabilities/validation_only_selection_bci4_2a_subject1_probabilities.npz
