dataset,method,method_label,bin,bin_lower,bin_upper,count,confidence,accuracy,gap
BCI IV-2a,seed_ensemble,Seed ensemble,9,0.9,1.0,919,0.9732528693629908,0.9216539717083787,0.05159889765461212
BCI IV-2a,teacher_student_mixture,Teacher/student,2,0.2,0.30000000000000004,10,0.29338826711766275,0.5,0.20661173288233725
BCI IV-2a,teacher_student_mixture,Teacher/student,3,0.30000000000000004,0.4,253,0.3553747438689278,0.3675889328063241,0.012214188937396286
BCI IV-2a,teacher_student_mixture,Teacher/student,4,0.4,0.5,303,0.44857557825306255,0.48184818481848185,0.033272606565419305
BCI IV-2a,teacher_student_mixture,Teacher/student,5,0.5,0.6000000000000001,408,0.5468265076803424,0.5416666666666666,0.0051598410136757256
BCI IV-2a,teacher_student_mixture,Teacher/student,6,0.6000000000000001,0.7000000000000001,389,0.6496606564333753,0.7172236503856041,0.06756299395222876
BCI IV-2a,teacher_student_mixture,Teacher/student,7,0.7000000000000001,0.8,349,0.7506427616850757,0.7936962750716332,0.043053513386557496
BCI IV-2a,teacher_student_mixture,Teacher/student,8,0.8,0.9,419,0.8455951848700132,0.8973747016706444,0.0517795168006312
BCI IV-2a,teacher_student_mixture,Teacher/student,9,0.9,1.0,437,0.9560646253969326,0.9633867276887872,0.007322102291854593
BNCI2014_001,augmentation,Augmentation,2,0.2,0.30000000000000004,22,0.28418231159959134,0.5,0.21581768840040866
BNCI2014_001,augmentation,Augmentation,3,0.30000000000000004,0.4,265,0.35637362011143736,0.30566037735849055,0.05071324275294681
BNCI2014_001,augmentation,Augmentation,4,0.4,0.5,366,0.4541165748102223,0.4781420765027322,0.024025501692509943
BNCI2014_001,augmentation,Augmentation,5,0.5,0.6000000000000001,412,0.5495836537320756,0.5776699029126213,0.028086249180545697
BNCI2014_001,augmentation,Augmentation,6,0.6000000000000001,0.7000000000000001,345,0.6490149237742315,0.6666666666666666,0.017651742892435096
BNCI2014_001,augmentation,Augmentation,7,0.7000000000000001,0.8,354,0.7483982105017462,0.7909604519774012,0.042562241475655016
BNCI2014_001,augmentation,Augmentation,8,0.8,0.9,324,0.8501641492190293,0.8611111111111112,0.010946961892081886
BNCI2014_001,augmentation,Augmentation,9,0.9,1.0,504,0.9595542691076617,0.9226190476190477,0.036935221488614056
BNCI2014_001,baseline,Baseline,2,0.2,0.30000000000000004,56,0.28714151474510746,0.2857142857142857,0.0014272290308217639
BNCI2014_001,baseline,Baseline,3,0.30000000000000004,0.4,291,0.3510395764617111,0.36769759450171824,0.01665801804000716
BNCI2014_001,baseline,Baseline,4,0.4,0.5,371,0.4537911351085553,0.42318059299191374,0.030610542116641548
BNCI2014_001,baseline,Baseline,5,0.5,0.6000000000000001,420,0.5491814759650728,0.6095238095238096,0.06034233355873675
BNCI2014_001,baseline,Baseline,6,0.6000000000000001,0.7000000000000001,325,0.6503574302301053,0.7015384615384616,0.05118103130835627
BNCI2014_001,baseline,Baseline,7,0.7000000000000001,0.8,331,0.752452038243222,0.8489425981873112,0.09649055994408917
BNCI2014_001,baseline,Baseline,8,0.8,0.9,334,0.8498697916677431,0.874251497005988,0.024381705338244908
BNCI2014_001,baseline,Baseline,9,0.9,1.0,464,0.9575907041718703,0.9331896551724138,0.0244010489994565
BNCI2014_001,seed_ensemble,Seed ensemble,2,0.2,0.30000000000000004,22,0.2925183074385648,0.22727272727272727,0.06524558016583751
BNCI2014_001,seed_ensemble,Seed ensemble,3,0.30000000000000004,0.4,246,0.3559029933736536,0.3170731707317073,0.03882982264194629
BNCI2014_001,seed_ensemble,Seed ensemble,4,0.4,0.5,367,0.4502798769269114,0.4141689373297003,0.03611093959721112
BNCI2014_001,seed_ensemble,Seed ensemble,5,0.5,0.6000000000000001,429,0.5494308000619367,0.5524475524475524,0.0030167523856157175
BNCI2014_001,seed_ensemble,Seed ensemble,6,0.6000000000000001,0.7000000000000001,339,0.6501131148359267,0.672566371681416,0.022453256845489267
BNCI2014_001,seed_ensemble,Seed ensemble,7,0.7000000000000001,0.8,342,0.7513887488965629,0.8099415204678363,0.058552771571273365
BNCI2014_001,seed_ensemble,Seed ensemble,8,0.8,0.9,386,0.849894888922996,0.8808290155440415,0.030934126621045444
BNCI2014_001,seed_ensemble,Seed ensemble,9,0.9,1.0,461,0.958861495577272,0.9392624728850325,0.019599022692239454
BNCI2014_001,teacher_student_mixture,Teacher/student,2,0.2,0.30000000000000004,96,0.2846766266278202,0.3854166666666667,0.10074004003884651
BNCI2014_001,teacher_student_mixture,Teacher/student,3,0.30000000000000004,0.4,389,0.3474917046077159,0.34704370179948585,0.00044800280823004135
BNCI2014_001,teacher_student_mixture,Teacher/student,4,0.4,0.5,419,0.44999859089814387,0.4916467780429594,0.04164818714481555
BNCI2014_001,teacher_student_mixture,Teacher/student,5,0.5,0.6000000000000001,397,0.5474877634476926,0.6272040302267002,0.07971626677900767
BNCI2014_001,teacher_student_mixture,Teacher/student,6,0.6000000000000001,0.7000000000000001,280,0.6497964922887931,0.6964285714285714,0.04663207913977829
BNCI2014_001,teacher_student_mixture,Teacher/student,7,0.7000000000000001,0.8,294,0.7507977212036214,0.826530612244898,0.07573289104127656
BNCI2014_001,teacher_student_mixture,Teacher/student,8,0.8,0.9,301,0.8517860663683208,0.8770764119601329,0.02529034559181209
BNCI2014_001,teacher_student_mixture,Teacher/student,9,0.9,1.0,416,0.9572202560287191,0.9807692307692307,0.023548974740511652
BNCI2014_004,augmentation,Augmentation,5,0.5,0.6000000000000001,656,0.5259995421807653,0.538109756097561,0.012110213916795676
BNCI2014_004,augmentation,Augmentation,6,0.6000000000000001,0.7000000000000001,266,0.649544982047815,0.6278195488721805,0.021725433175634468
BNCI2014_004,augmentation,Augmentation,7,0.7000000000000001,0.8,242,0.7490228282355702,0.6859504132231405,0.06307241501242966
BNCI2014_004,augmentation,Augmentation,8,0.8,0.9,322,0.8521580813596853,0.8198757763975155,0.03228230496216977
BNCI2014_004,augmentation,Augmentation,9,0.9,1.0,1354,0.9774787566765136,0.9453471196454948,0.032131637031018845
BNCI2014_004,baseline,Baseline,5,0.5,0.6000000000000001,677,0.5267093086910917,0.5539143279172821,0.027205019226190452
BNCI2014_004,baseline,Baseline,6,0.6000000000000001,0.7000000000000001,295,0.6488593002118378,0.6203389830508474,0.02852031716099035
BNCI2014_004,baseline,Baseline,7,0.7000000000000001,0.8,227,0.7516148805812318,0.7092511013215859,0.04236377925964596
BNCI2014_004,baseline,Baseline,8,0.8,0.9,327,0.8532485584262481,0.8379204892966361,0.015328069129612043
BNCI2014_004,baseline,Baseline,9,0.9,1.0,1314,0.9757529204079527,0.9505327245053272,0.025220195902625475
BNCI2014_004,seed_ensemble,Seed ensemble,5,0.5,0.6000000000000001,657,0.5266776830030457,0.5616438356164384,0.03496615261339264
BNCI2014_004,seed_ensemble,Seed ensemble,6,0.6000000000000001,0.7000000000000001,290,0.6507702530414784,0.596551724137931,0.05421852890354739
BNCI2014_004,seed_ensemble,Seed ensemble,7,0.7000000000000001,0.8,240,0.750628571426814,0.7166666666666667,0.03396190476014738
BNCI2014_004,seed_ensemble,Seed ensemble,8,0.8,0.9,326,0.8538833401878066,0.8220858895705522,0.031797450617254475
BNCI2014_004,seed_ensemble,Seed ensemble,9,0.9,1.0,1327,0.9774315456171306,0.9495101733232856,0.02792137229384506
BNCI2014_004,teacher_student_mixture,Teacher/student,5,0.5,0.6000000000000001,679,0.536658385565785,0.5493372606774669,0.012678875111681864
BNCI2014_004,teacher_student_mixture,Teacher/student,6,0.6000000000000001,0.7000000000000001,312,0.6488481708663465,0.625,0.023848170866346496
BNCI2014_004,teacher_student_mixture,Teacher/student,7,0.7000000000000001,0.8,255,0.752283846565924,0.7215686274509804,0.03071521911494357
BNCI2014_004,teacher_student_mixture,Teacher/student,8,0.8,0.9,372,0.856516837280843,0.8521505376344086,0.004366299646434424
BNCI2014_004,teacher_student_mixture,Teacher/student,9,0.9,1.0,1222,0.9699980362471801,0.9599018003273322,0.010096235919847873
