dataset,subject,decoder,n_trials,accuracy_all,mean_confidence,ece,brier,method,method_label,source_file
BNCI2014_001,5,baseline,288,0.3819444444444444,0.36851618795239416,0.03853468815653151,0.6967971916452177,baseline,Baseline,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject5_probabilities.npz
BNCI2014_001,6,baseline,288,0.5,0.46430596214347414,0.05277880224105392,0.6191650657934713,baseline,Baseline,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject6_probabilities.npz
BNCI2014_001,7,baseline,288,0.8055555555555556,0.7471464228746589,0.0726422147911104,0.28870599388946755,baseline,Baseline,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject7_probabilities.npz
BNCI2014_001,8,baseline,288,0.8229166666666666,0.737967671442403,0.08574641582046677,0.26049885407641493,baseline,Baseline,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject8_probabilities.npz
BNCI2014_001,9,baseline,288,0.8159722222222222,0.6720756462589578,0.14597603921668303,0.3059176781408614,baseline,Baseline,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject9_probabilities.npz
BNCI2014_001,1,seed_ensemble,288,0.8125,0.8247482621298301,0.039403583494839335,0.2582311547712829,seed_ensemble,Seed ensemble,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject1_probabilities.npz
BNCI2014_001,2,seed_ensemble,288,0.46875,0.662753073567404,0.19400307356740398,0.701570604090517,seed_ensemble,Seed ensemble,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject2_probabilities.npz
BNCI2014_001,3,seed_ensemble,288,0.8298611111111112,0.7583354584771037,0.07152565263400729,0.23992241490061833,seed_ensemble,Seed ensemble,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject3_probabilities.npz
BNCI2014_001,4,seed_ensemble,288,0.6875,0.6976122683793413,0.06562698940939622,0.4330014030898892,seed_ensemble,Seed ensemble,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject4_probabilities.npz
BNCI2014_001,5,seed_ensemble,288,0.3784722222222222,0.4149473643991992,0.045981184971004244,0.684411954302552,seed_ensemble,Seed ensemble,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject5_probabilities.npz
BNCI2014_001,6,seed_ensemble,288,0.5381944444444444,0.5274220683934824,0.04901802889791454,0.5783521816277355,seed_ensemble,Seed ensemble,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject6_probabilities.npz
BNCI2014_001,7,seed_ensemble,288,0.7465277777777778,0.7268149323626961,0.05414509569566238,0.33938788757115235,seed_ensemble,Seed ensemble,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject7_probabilities.npz
BNCI2014_001,8,seed_ensemble,288,0.8194444444444444,0.7283923490443182,0.11177623069834516,0.26136520250192863,seed_ensemble,Seed ensemble,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject8_probabilities.npz
BNCI2014_001,9,seed_ensemble,288,0.7951388888888888,0.7089879101553644,0.09650657663727229,0.2938134269623447,seed_ensemble,Seed ensemble,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject9_probabilities.npz
BNCI2014_001,1,teacher_student_mixture,288,0.8298611111111112,0.8002744469060494,0.037144202554784206,0.2452899695526179,teacher_student_mixture,Teacher/student,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject1_probabilities.npz
BNCI2014_001,2,teacher_student_mixture,288,0.4895833333333333,0.5604896117562121,0.0709062784228789,0.599713382696633,teacher_student_mixture,Teacher/student,results/calibration_workflow_bnci2014_001/probabilities/validation_only_selection_bnci2014_001_subject2_probabilities.npz
