dataset,subject,experiment_key,method_label,metric,baseline,candidate,delta
BNCI2014_001,5,seed_ensemble,Seed ensemble,accuracy,0.3819444444444444,0.3784722222222222,-0.00347222222222221
BNCI2014_001,6,seed_ensemble,Seed ensemble,accuracy,0.5,0.5381944444444444,0.03819444444444442
BNCI2014_001,7,seed_ensemble,Seed ensemble,accuracy,0.8055555555555556,0.7465277777777778,-0.05902777777777779
BNCI2014_001,8,seed_ensemble,Seed ensemble,accuracy,0.8229166666666666,0.8194444444444444,-0.00347222222222221
BNCI2014_001,9,seed_ensemble,Seed ensemble,accuracy,0.8159722222222222,0.7951388888888888,-0.02083333333333337
BNCI2014_001,1,seed_ensemble,Seed ensemble,ECE,0.0652607710843051,0.0680830001048939,0.002822229020588804
BNCI2014_001,2,seed_ensemble,Seed ensemble,ECE,0.1839904390450046,0.1955039713759185,0.0115135323309139
BNCI2014_001,3,seed_ensemble,Seed ensemble,ECE,0.0715493142164599,0.0767486598158437,0.005199345599383801
BNCI2014_001,4,seed_ensemble,Seed ensemble,ECE,0.080038781405371,0.0746980788214669,-0.005340702583904108
BNCI2014_001,5,seed_ensemble,Seed ensemble,ECE,0.0868435252505211,0.0720430302865081,-0.014800494964012992
BNCI2014_001,6,seed_ensemble,Seed ensemble,ECE,0.0937385688403907,0.0872104357132872,-0.0065281331271035
BNCI2014_001,7,seed_ensemble,Seed ensemble,ECE,0.0914203031935196,0.0859967069041992,-0.005423596289320404
BNCI2014_001,8,seed_ensemble,Seed ensemble,ECE,0.092193472661842,0.1065028823878612,0.014309409726019198
BNCI2014_001,9,seed_ensemble,Seed ensemble,ECE,0.1440362824569283,0.1098502523564619,-0.03418603010046639
BNCI2014_001,1,seed_ensemble,Seed ensemble,NLL,0.4897892994929562,0.4628184929788042,-0.026970806514152013
BNCI2014_001,2,seed_ensemble,Seed ensemble,NLL,1.435960180040859,1.4395711678150107,0.003610987774151697
BNCI2014_001,3,seed_ensemble,Seed ensemble,NLL,0.3495514024075278,0.4189459793607991,0.06939457695327128
BNCI2014_001,4,seed_ensemble,Seed ensemble,NLL,0.8095640151179806,0.7820859476019173,-0.027478067516063298
BNCI2014_001,5,seed_ensemble,Seed ensemble,NLL,1.276354302334385,1.2551107493300586,-0.021243553004326454
BNCI2014_001,6,seed_ensemble,Seed ensemble,NLL,1.138544201672521,1.065626695711588,-0.07291750596093283
BNCI2014_001,7,seed_ensemble,Seed ensemble,NLL,0.4898047402104328,0.5749892688530243,0.08518452864259146
BNCI2014_001,8,seed_ensemble,Seed ensemble,NLL,0.4950543717383571,0.5003895521524616,0.005335180414104523
BNCI2014_001,9,seed_ensemble,Seed ensemble,NLL,0.5644810225988702,0.5350627459334801,-0.029418276665390097
BNCI2014_001,1,augmentation,Augmentation,Brier,0.2691424310974397,0.3001589622718535,0.03101653117441383
BNCI2014_001,2,augmentation,Augmentation,Brier,0.7021799019901737,0.7229830940289664,0.020803192038792773
