dataset,dataset_key,subject,n_methods,metric,selected_method,oracle_method,selection_correct,heldout_selected,heldout_oracle,regret,spearman_rho,mean_abs_rank_shift,norm_rank_shift,chance_value,norm_regret,regret_fixed__baseline,regret_fixed__seed_ensemble,regret_fixed__teacher_student_mixture,regret_fixed__augmentation,regret_fixed__crop_aggregation,regret_fixed__brier_loss,regret_fixed__calibration_grid,regret_fixed__stronger_teacher,regret_fixed__swa_ema,regret_fixed__calibration_checkpoint,regret_fixed__architecture
BCI IV-2a,bci4_2a,3,11,Brier,calibration_grid,seed_ensemble,False,0.139793486674764,0.0873146539147688,0.052478832759995195,0.22374429223744294,3.090909090909091,0.3090909090909091,0.75,0.06997177701332692,0.029052976049659507,0.0,0.04511769535648501,0.029052976049659507,0.029845037045954106,0.02931279472901341,0.052478832759995195,0.6784708173998996,0.03721243759749311,0.0486642415577883,0.0290627791384878
BCI IV-2a,bci4_2a,4,11,Brier,calibration_grid,augmentation,False,0.4395984301213299,0.3826067827700273,0.05699164735130258,0.26027397260273977,2.909090909090909,0.2909090909090909,0.75,0.0759888631350701,0.02014497386674191,0.005221054507719092,0.02014497386674191,0.0,0.01939650907700169,0.01984302667653809,0.05699164735130258,0.3840836743657296,0.045518861670474586,0.03792808046818602,0.0818881250255864
BCI IV-2a,bci4_2a,5,11,Brier,calibration_grid,teacher_student_mixture,False,0.6091076791993605,0.5721773125576596,0.03693036664170091,0.20952380952380953,3.090909090909091,0.3090909090909091,0.75,0.04924048885560121,0.0015710670284674322,0.02442310602451836,0.0,0.0015710670284674322,0.0015710670284674322,0.0015710670284674322,0.03693036664170091,0.21280571346401878,0.006421862866226591,0.004082888731670065,0.0010385612140400013
BCI IV-2a,bci4_2a,6,11,Brier,crop_aggregation,teacher_student_mixture,False,0.6283262019914053,0.6189625585740739,0.009363643417331424,0.5047619047619047,1.4545454545454546,0.14545454545454545,0.75,0.012484857889775233,0.005262049547820391,0.0006339458059080316,0.0,0.005262049547820391,0.009363643417331424,0.005434709911488866,0.005262049547820391,0.09627625067725765,0.012521635007759269,0.005262049547820391,0.00447160934377977
BCI IV-2a,bci4_2a,7,11,Brier,architecture,architecture,True,0.2908900279150438,0.2908900279150438,0.0,0.5185185185185185,2.5454545454545454,0.2545454545454545,0.75,0.0,0.12356000484251739,0.0924361586110708,0.04732538149647808,0.014449333018935862,0.12356000484251739,0.1213461984384947,0.12356000484251739,0.12187563290500569,0.1022986959590369,0.081502275110235,0.0
BCI IV-2a,bci4_2a,8,11,Brier,architecture,architecture,True,0.2691421507564467,0.2691421507564467,0.0,0.07407407407407407,2.727272727272727,0.2727272727272727,0.75,0.0,0.026343692535537977,0.025642017904842218,0.058454538956064284,0.026343692535537977,0.02354248145173038,0.02500413376267019,0.08556350936358409,0.3910157153753932,0.0179430230428978,0.026343692535537977,0.0
BCI IV-2a,bci4_2a,9,11,Brier,architecture,augmentation,False,0.3714167667807064,0.2895247072247455,0.0818920595559609,0.18181818181818182,2.727272727272727,0.2727272727272727,0.75,0.1091894127412812,0.042651834894903484,0.0059729384731928015,0.0472343752320723,0.0,0.0475331027568644,0.0402287602716076,0.028765884668972286,0.32319477591902973,0.026558028805988232,0.0376131354384881,0.0818920595559609
BCI IIIa,bci_iiia,k3b,4,Brier,augmentation,augmentation,True,0.2316957011988648,0.2316957011988648,0.0,1.0,0.0,0.0,0.75,0.0,0.011266125016257122,0.0003167653113577973,0.001673659967402208,0.0,,,,,,,
BCI IIIa,bci_iiia,k6b,4,Brier,augmentation,augmentation,True,0.4033880420569031,0.4033880420569031,0.0,1.0,0.0,0.0,0.75,0.0,0.05341449917647301,0.0374863041206101,0.001695660205028593,0.0,,,,,,,
BCI IIIa,bci_iiia,l1b,4,Brier,seed_ensemble,seed_ensemble,True,0.3843264849767187,0.3843264849767187,0.0,1.0,0.0,0.0,0.75,0.0,0.0807701553446169,0.0,0.035413235678427524,0.04435785840631923,,,,,,,
