arm,n,draws,detection_rate,median_p,attainable_p_floor,floor_permits_alpha
CBraMod pooled LOSO,35,4000,1.0,2.0151492208242416e-06,5.820766091346741e-11,True
CBraMod pooled LOSO,36,4000,1.0,1.4187535271048546e-06,2.9103830456733704e-11,True
CBraMod pooled LOSO,37,4000,1.0,1.0243093129247427e-06,1.4551915228366852e-11,True
CBraMod pooled LOSO,38,4000,1.0,7.32092303223908e-07,7.275957614183426e-12,True
CBraMod pooled LOSO,39,4000,1.0,5.184265319257975e-07,3.637978807091713e-12,True
CBraMod pooled LOSO,40,4000,1.0,3.6727578844875097e-07,1.8189894035458565e-12,True
CBraMod pooled LOSO,41,4000,1.0,2.6013367460109293e-07,9.094947017729282e-13,True
CBraMod pooled LOSO,42,4000,1.0,1.8267201085109264e-07,4.547473508864641e-13,True
CBraMod pooled LOSO,43,4000,1.0,1.2726104614557698e-07,2.2737367544323206e-13,True
CBraMod pooled LOSO,44,4000,1.0,9.777659215615131e-08,1.1368683772161603e-13,True
CBraMod pooled LOSO,45,4000,1.0,6.700088306388352e-08,5.684341886080802e-14,True
CBraMod pooled LOSO,46,4000,1.0,5.0145445129601285e-08,2.842170943040401e-14,True
CBraMod pooled LOSO,47,4000,1.0,3.407143367439858e-08,1.4210854715202004e-14,True
CBraMod pooled LOSO,48,4000,1.0,2.435815815715614e-08,7.105427357601002e-15,True
CBraMod pooled LOSO,49,4000,1.0,1.6812492731332895e-08,3.552713678800501e-15,True
CBraMod pooled LOSO,50,4000,1.0,1.2240874980307126e-08,1.7763568394002505e-15,True
CBraMod pooled LOSO,51,4000,1.0,8.22989321136447e-09,8.881784197001252e-16,True
CBraMod pooled LOSO,52,4000,1.0,6.3368066349767105e-09,4.440892098500626e-16,True
CBraMod pooled LOSO,53,4000,1.0,1.2385727861651555e-07,2.220446049250313e-16,True
CBraMod pooled LOSO,54,1,1.0,8.094787733361787e-08,1.1102230246251565e-16,True
LaBraM frozen probe,3,4000,0.0,0.75,0.25,False
LaBraM frozen probe,4,4000,0.0,0.625,0.125,False
LaBraM frozen probe,5,4000,0.0,0.625,0.0625,False
LaBraM frozen probe,6,4000,0.02,0.5625,0.03125,True
LaBraM frozen probe,7,4000,0.03975,0.578125,0.015625,True
LaBraM frozen probe,8,4000,0.02525,0.578125,0.0078125,True
LaBraM frozen probe,9,4000,0.026,0.5703125,0.00390625,True
LaBraM frozen probe,10,4000,0.02875,0.59765625,0.001953125,True
LaBraM frozen probe,11,4000,0.02375,0.5771484375,0.0009765625,True
LaBraM frozen probe,12,4000,0.02525,0.5693359375,0.00048828125,True
LaBraM frozen probe,13,4000,0.022,0.587890625,0.000244140625,True
LaBraM frozen probe,14,4000,0.02375,0.5830078125,0.0001220703125,True
LaBraM frozen probe,15,4000,0.02025,0.5994873046875,6.103515625e-05,True
LaBraM frozen probe,16,4000,0.02075,0.596588134765625,3.0517578125e-05,True
LaBraM frozen probe,17,4000,0.01375,0.596588134765625,1.52587890625e-05,True
LaBraM frozen probe,18,4000,0.014,0.6094589233398438,7.62939453125e-06,True
LaBraM frozen probe,19,4000,0.0115,0.5948867797851562,3.814697265625e-06,True
LaBraM frozen probe,20,4000,0.015,0.6215133666992188,1.9073486328125e-06,True
LaBraM frozen probe,21,4000,0.012,0.6091489791870117,9.5367431640625e-07,True
LaBraM frozen probe,22,4000,0.0105,0.6101517677307129,4.76837158203125e-07,True
LaBraM frozen probe,23,4000,0.0085,0.6327285766601562,2.384185791015625e-07,True
LaBraM frozen probe,24,4000,0.011,0.6230943202972412,1.1920928955078125e-07,True
LaBraM frozen probe,25,4000,0.00675,0.6338268518447876,5.960464477539063e-08,True
LaBraM frozen probe,26,4000,0.0065,0.6348496079444885,2.9802322387695312e-08,True
LaBraM frozen probe,27,4000,0.00525,0.6445824354887009,1.4901161193847656e-08,True
LaBraM frozen probe,28,4000,0.00425,0.6455853804945946,7.450580596923828e-09,True
LaBraM frozen probe,29,4000,0.00275,0.6618045940995216,3.725290298461914e-09,True
LaBraM frozen probe,30,4000,0.003,0.6699504218995571,1.862645149230957e-09,True
LaBraM frozen probe,31,4000,0.00275,0.6635807873681188,9.313225746154785e-10,True
LaBraM frozen probe,32,4000,0.00175,0.6776954075321555,4.656612873077393e-10,True
LaBraM frozen probe,33,4000,0.0005,0.6849592779763043,2.3283064365386963e-10,True
LaBraM frozen probe,34,4000,0.00075,0.6853143798653036,1.1641532182693481e-10,True
LaBraM frozen probe,35,4000,0.00125,0.6853143798653036,5.820766091346741e-11,True
LaBraM frozen probe,36,4000,0.00025,0.7152452514856122,2.9103830456733704e-11,True
LaBraM frozen probe,37,4000,0.00075,0.7036759513430297,1.4551915228366852e-11,True
LaBraM frozen probe,38,4000,0.0,0.7204289893124951,7.275957614183426e-12,True
LaBraM frozen probe,39,4000,0.00075,0.7307534597057384,3.637978807091713e-12,True
LaBraM frozen probe,40,4000,0.00025,0.7456984849377477,1.8189894035458565e-12,True
LaBraM frozen probe,41,4000,0.0,0.7546940826050559,9.094947017729282e-13,True
LaBraM frozen probe,42,4000,0.0,0.7570400010772573,4.547473508864641e-13,True
LaBraM frozen probe,43,4000,0.0,0.769638395301854,2.2737367544323206e-13,True
LaBraM frozen probe,44,4000,0.0,0.7771068282099804,1.1368683772161603e-13,True
LaBraM frozen probe,45,4000,0.0,0.7884889043277781,5.684341886080802e-14,True
LaBraM frozen probe,46,4000,0.0,0.8057534826177744,2.842170943040401e-14,True
LaBraM frozen probe,47,4000,0.0,0.8118304674585772,1.4210854715202004e-14,True
LaBraM frozen probe,48,4000,0.0,0.8216776925939371,7.105427357601002e-15,True
LaBraM frozen probe,49,4000,0.0,0.8359996951418118,3.552713678800501e-15,True
LaBraM frozen probe,50,4000,0.0,0.8514308418474705,1.7763568394002505e-15,True
LaBraM frozen probe,51,4000,0.0,0.878334307774896,8.881784197001252e-16,True
LaBraM frozen probe,52,4000,0.0,0.891859340813936,4.440892098500626e-16,True
LaBraM frozen probe,53,4000,0.0,0.8985225871896457,2.220446049250313e-16,True
LaBraM frozen probe,54,1,0.0,0.9823384056288123,1.1102230246251565e-16,True
LaBraM fine-tuned,3,4000,0.0,0.75,0.25,False
LaBraM fine-tuned,4,4000,0.0,0.625,0.125,False
LaBraM fine-tuned,5,4000,0.0,0.625,0.0625,False
LaBraM fine-tuned,6,4000,0.02025,0.5625,0.03125,True
LaBraM fine-tuned,7,4000,0.03225,0.578125,0.015625,True
LaBraM fine-tuned,8,4000,0.0235,0.546875,0.0078125,True
LaBraM fine-tuned,9,4000,0.02675,0.5703125,0.00390625,True
LaBraM fine-tuned,10,4000,0.032,0.556640625,0.001953125,True
LaBraM fine-tuned,11,4000,0.02375,0.5771484375,0.0009765625,True
LaBraM fine-tuned,12,4000,0.025,0.5693359375,0.00048828125,True
LaBraM fine-tuned,13,4000,0.026,0.5693359375,0.000244140625,True
LaBraM fine-tuned,14,4000,0.02775,0.5830078125,0.0001220703125,True
LaBraM fine-tuned,15,4000,0.02375,0.5614013671875,6.103515625e-05,True
LaBraM fine-tuned,16,4000,0.02525,0.5618896484375,3.0517578125e-05,True
LaBraM fine-tuned,17,4000,0.01975,0.5618896484375,1.52587890625e-05,True
LaBraM fine-tuned,18,4000,0.022,0.550872802734375,7.62939453125e-06,True
LaBraM fine-tuned,19,4000,0.0235,0.5677604675292969,3.814697265625e-06,True
LaBraM fine-tuned,20,4000,0.022,0.5705966949462891,1.9073486328125e-06,True
LaBraM fine-tuned,21,4000,0.02,0.5705966949462891,9.5367431640625e-07,True
LaBraM fine-tuned,22,4000,0.01375,0.5879268646240234,4.76837158203125e-07,True
LaBraM fine-tuned,23,4000,0.01225,0.5660676956176758,2.384185791015625e-07,True
LaBraM fine-tuned,24,4000,0.0135,0.5838061571121216,1.1920928955078125e-07,True
LaBraM fine-tuned,25,4000,0.01325,0.5964998602867126,5.960464477539063e-08,True
LaBraM fine-tuned,26,4000,0.0095,0.5822249948978424,2.9802322387695312e-08,True
LaBraM fine-tuned,27,4000,0.01075,0.5822249948978424,1.4901161193847656e-08,True
LaBraM fine-tuned,28,4000,0.0115,0.5979221016168594,7.450580596923828e-09,True
LaBraM fine-tuned,29,4000,0.01175,0.5979221016168594,3.725290298461914e-09,True
LaBraM fine-tuned,30,4000,0.00675,0.5792817249894142,1.862645149230957e-09,True
LaBraM fine-tuned,31,4000,0.0095,0.5948144253343344,9.313225746154785e-10,True
LaBraM fine-tuned,32,4000,0.0115,0.608313562348485,4.656612873077393e-10,True
LaBraM fine-tuned,33,4000,0.0075,0.5859751221723855,2.3283064365386963e-10,True
LaBraM fine-tuned,34,4000,0.00275,0.6005140317138284,1.1641532182693481e-10,True
LaBraM fine-tuned,35,4000,0.00425,0.6123437237692997,5.820766091346741e-11,True
LaBraM fine-tuned,36,4000,0.00225,0.6101043444359675,2.9103830456733704e-11,True
LaBraM fine-tuned,37,4000,0.0015,0.6028146811586339,1.4551915228366852e-11,True
LaBraM fine-tuned,38,4000,0.002,0.6015187961311312,7.275957614183426e-12,True
LaBraM fine-tuned,39,4000,0.001,0.6155919205411919,3.637978807091713e-12,True
LaBraM fine-tuned,40,4000,0.00075,0.6142546307964949,1.8189894035458565e-12,True
LaBraM fine-tuned,41,4000,0.00125,0.617864971896779,9.094947017729282e-13,True
LaBraM fine-tuned,42,4000,0.00025,0.6097621705553138,4.547473508864641e-13,True
LaBraM fine-tuned,43,4000,0.0,0.6281421389451225,2.2737367544323206e-13,True
LaBraM fine-tuned,44,4000,0.00025,0.619666805345787,1.1368683772161603e-13,True
LaBraM fine-tuned,45,4000,0.0,0.6150179039250361,5.684341886080802e-14,True
LaBraM fine-tuned,46,4000,0.0,0.606890746763213,2.842170943040401e-14,True
LaBraM fine-tuned,47,4000,0.0,0.610804573973013,1.4210854715202004e-14,True
LaBraM fine-tuned,48,4000,0.0,0.6035698187017715,7.105427357601002e-15,True
LaBraM fine-tuned,49,4000,0.0,0.600463997085626,3.552713678800501e-15,True
LaBraM fine-tuned,50,4000,0.0,0.5942363039240135,1.7763568394002505e-15,True
LaBraM fine-tuned,51,4000,0.0,0.5984627102635613,8.881784197001252e-16,True
LaBraM fine-tuned,52,4000,0.0,0.5866048402827271,4.440892098500626e-16,True
LaBraM fine-tuned,53,4000,0.0,0.5722565411113425,2.220446049250313e-16,True
LaBraM fine-tuned,54,1,0.0,0.5799889884137784,1.1102230246251565e-16,True
