fm,reference,metric,n,mean_left,mean_right,delta,wins,p_raw,p_floor,p_bh
labram_frozen_p4,shallow_convnet_broadband_tuned,NLL,9,0.6742659513241914,0.3945662934699822,0.2796996578542092,0,0.00390625,0.00390625,0.01348458904109589
cbramod_frozen_p2,atcnet_broadband_tuned,NLL,9,0.6349787701012485,0.41948355989722574,0.21549521020402274,1,0.0078125,0.00390625,0.0205078125
cbramod_loso,atcnet_broadband_tuned,NLL,9,0.6632025155968749,0.41948355989722574,0.24371895569964913,1,0.0078125,0.00390625,0.0205078125
cbramod_loso,seed_ensemble,NLL,9,0.6632025155968749,0.427631847628555,0.23557066796831988,1,0.0078125,0.00390625,0.0205078125
labram_frozen_p2,atcnet_broadband_tuned,NLL,9,0.6860920069577037,0.41948355989722574,0.26660844706047787,1,0.0078125,0.00390625,0.0205078125
labram_frozen_p2,eegconformer_broadband_tuned,NLL,9,0.6860920069577037,0.4998850398720823,0.18620696708562134,1,0.0078125,0.00390625,0.0205078125
labram_frozen_p2,shallow_convnet_broadband,NLL,9,0.6860920069577037,0.39057138403309355,0.2955206229246101,1,0.0078125,0.00390625,0.0205078125
labram_frozen_p2,shallow_convnet_broadband_tuned,NLL,9,0.6860920069577037,0.3945662934699822,0.29152571348772144,1,0.0078125,0.00390625,0.0205078125
labram_frozen_p4,atcnet_broadband_tuned,NLL,9,0.6742659513241914,0.41948355989722574,0.2547823914269656,1,0.0078125,0.00390625,0.0205078125
labram_loso,atcnet_broadband_tuned,NLL,9,0.6954901673956262,0.41948355989722574,0.2760066074984004,1,0.0078125,0.00390625,0.0205078125
labram_loso,eegconformer_broadband_tuned,NLL,9,0.6954901673956262,0.4998850398720823,0.1956051275235439,1,0.0078125,0.00390625,0.0205078125
labram_loso,seed_ensemble,NLL,9,0.6954901673956262,0.427631847628555,0.2678583197670712,1,0.0078125,0.00390625,0.0205078125
labram_loso,shallow_convnet_broadband,NLL,9,0.6954901673956262,0.39057138403309355,0.30491878336253264,1,0.0078125,0.00390625,0.0205078125
labram_loso,shallow_convnet_broadband_tuned,NLL,9,0.6954901673956262,0.3945662934699822,0.300923873925644,1,0.0078125,0.00390625,0.0205078125
cbramod_loso,baseline,NLL,9,0.6632025155968749,0.4252223158132251,0.23798019978364982,1,0.01171875,0.00390625,0.027859669811320754
labram_frozen_p4,seed_ensemble,NLL,9,0.6742659513241914,0.427631847628555,0.24663410369563638,1,0.01171875,0.00390625,0.027859669811320754
labram_loso,baseline,NLL,9,0.6954901673956262,0.4252223158132251,0.27026785158240113,1,0.01171875,0.00390625,0.027859669811320754
cbramod_frozen_p2,eegconformer_broadband_tuned,NLL,9,0.6349787701012485,0.4998850398720823,0.13509373022916624,2,0.01953125,0.00390625,0.04206730769230769
cbramod_frozen_p4,atcnet_broadband_tuned,NLL,9,0.635740229728982,0.41948355989722574,0.21625666983175618,2,0.01953125,0.00390625,0.04206730769230769
cbramod_frozen_p4,shallow_convnet_broadband_tuned,NLL,9,0.635740229728982,0.3945662934699822,0.24117393625899983,2,0.01953125,0.00390625,0.04206730769230769
cbramod_loso,atcnet_narrowband_tuned,NLL,9,0.6632025155968749,0.4396986983774466,0.22350381721942833,1,0.01953125,0.00390625,0.04206730769230769
cbramod_loso,eegconformer_broadband_tuned,NLL,9,0.6632025155968749,0.4998850398720823,0.16331747572479258,2,0.01953125,0.00390625,0.04206730769230769
labram_frozen_p2,baseline,NLL,9,0.6860920069577037,0.4252223158132251,0.26086969114447855,1,0.01953125,0.00390625,0.04206730769230769
labram_frozen_p4,eegconformer_broadband_tuned,NLL,9,0.6742659513241914,0.4998850398720823,0.1743809114521091,2,0.01953125,0.00390625,0.04206730769230769
cbramod_frozen_p4,eegconformer_broadband_tuned,NLL,9,0.635740229728982,0.4998850398720823,0.1358551898568997,2,0.02734375,0.00390625,0.05029653284671533
cbramod_frozen_p4,seed_ensemble,NLL,9,0.635740229728982,0.427631847628555,0.208108382100427,1,0.02734375,0.00390625,0.05029653284671533
cbramod_frozen_p4,shallow_convnet_broadband,NLL,9,0.635740229728982,0.39057138403309355,0.24516884569588843,2,0.02734375,0.00390625,0.05029653284671533
cbramod_loso,eegconformer_narrowband_tuned,NLL,9,0.6632025155968749,0.4913880203279393,0.17181449526893555,1,0.02734375,0.00390625,0.05029653284671533
cbramod_loso,shallow_convnet_narrowband_tuned,NLL,9,0.6632025155968749,0.4612005376139193,0.2020019779829556,1,0.02734375,0.00390625,0.05029653284671533
labram_frozen_p4,baseline,NLL,9,0.6742659513241914,0.4252223158132251,0.2490436355109663,2,0.02734375,0.00390625,0.05029653284671533
labram_frozen_p4,shallow_convnet_narrowband_tuned,NLL,9,0.6742659513241914,0.4612005376139193,0.2130654137102721,1,0.02734375,0.00390625,0.05029653284671533
labram_loso,atcnet_narrowband_tuned,NLL,9,0.6954901673956262,0.4396986983774466,0.2557914690181796,2,0.02734375,0.00390625,0.05029653284671533
labram_loso,eegconformer_narrowband_tuned,NLL,9,0.6954901673956262,0.4913880203279393,0.20410214706768687,2,0.02734375,0.00390625,0.05029653284671533
cbramod_frozen_p2,seed_ensemble,NLL,9,0.6349787701012485,0.427631847628555,0.20734692247269354,2,0.0390625,0.00390625,0.060391104294478526
cbramod_frozen_p2,shallow_convnet_broadband,NLL,9,0.6349787701012485,0.39057138403309355,0.24440738606815499,2,0.0390625,0.00390625,0.060391104294478526
cbramod_frozen_p2,shallow_convnet_broadband_tuned,NLL,9,0.6349787701012485,0.3945662934699822,0.2404124766312664,2,0.0390625,0.00390625,0.060391104294478526
labram_frozen_p2,eegconformer_narrowband_tuned,NLL,9,0.6860920069577037,0.4913880203279393,0.19470398662976432,2,0.0390625,0.00390625,0.060391104294478526
labram_frozen_p2,shallow_convnet_narrowband_tuned,NLL,9,0.6860920069577037,0.4612005376139193,0.22489146934378434,2,0.0390625,0.00390625,0.060391104294478526
labram_frozen_p4,atcnet_narrowband_tuned,NLL,9,0.6742659513241914,0.4396986983774466,0.23456725294674483,2,0.0390625,0.00390625,0.060391104294478526
labram_loso,shallow_convnet_narrowband_tuned,NLL,9,0.6954901673956262,0.4612005376139193,0.23428962978170695,2,0.0390625,0.00390625,0.060391104294478526
cbramod_frozen_p2,baseline,NLL,9,0.6349787701012485,0.4252223158132251,0.20975645428802345,2,0.0546875,0.00390625,0.0801235465116279
cbramod_frozen_p4,baseline,NLL,9,0.635740229728982,0.4252223158132251,0.21051791391575694,2,0.0546875,0.00390625,0.0801235465116279
labram_frozen_p2,atcnet_narrowband_tuned,NLL,9,0.6860920069577037,0.4396986983774466,0.24639330858025707,3,0.0546875,0.00390625,0.0801235465116279
labram_frozen_p4,eegconformer_narrowband_tuned,NLL,9,0.6742659513241914,0.4913880203279393,0.18287793099625207,2,0.0546875,0.00390625,0.0801235465116279
cbramod_frozen_p2,atcnet_narrowband_tuned,NLL,9,0.6349787701012485,0.4396986983774466,0.19528007172380196,3,0.07421875,0.00390625,0.10566737288135593
cbramod_frozen_p4,atcnet_narrowband_tuned,NLL,9,0.635740229728982,0.4396986983774466,0.19604153135153543,3,0.07421875,0.00390625,0.10566737288135593
cbramod_frozen_p2,shallow_convnet_narrowband_tuned,NLL,9,0.6349787701012485,0.4612005376139193,0.17377823248732926,3,0.09765625,0.00390625,0.13447745901639344
cbramod_frozen_p4,shallow_convnet_narrowband_tuned,NLL,9,0.635740229728982,0.4612005376139193,0.1745396921150627,3,0.09765625,0.00390625,0.13447745901639344
