dataset,method,method_label,target_coverage,n_subjects,heldout_coverage_mean,heldout_coverage_std,heldout_selective_accuracy_mean,heldout_selective_accuracy_std,heldout_risk_mean,heldout_risk_std,heldout_n_covered_sum,eval_labels_used_for_threshold
BCI IV-2a,architecture,architecture,0.8,9,0.7576459034792369,0.08994824820890378,0.7714362375072084,0.14931090024765345,0.22856376249279162,0.14931090024765345,1942,False
BCI IV-2a,augmentation,Augmentation,0.8,9,0.8034862514029181,0.08356485338239324,0.7648855275760389,0.14821897954284502,0.2351144724239611,0.14821897954284502,2060,False
BCI IV-2a,baseline,Baseline,0.8,9,0.7962962962962963,0.08675152639557178,0.75172574403749,0.14761868973725495,0.24827425596250993,0.14761868973725495,2042,False
BCI IV-2a,brier_loss,brier_loss,0.8,9,0.791280864197531,0.08153677568750063,0.7558494887308023,0.14121698273332361,0.2441505112691977,0.14121698273332364,2029,False
BCI IV-2a,calibration_checkpoint,calibration_checkpoint,0.8,9,0.7889309764309763,0.09894903325002881,0.7452227966503915,0.14435727973592327,0.25477720334960857,0.14435727973592327,2022,False
BCI IV-2a,calibration_grid,calibration_grid,0.8,9,0.7982603815937149,0.08300539958588055,0.7380764969662874,0.14970802991744284,0.2619235030337127,0.14970802991744284,2047,False
BCI IV-2a,crop_aggregation,crop_aggregation,0.8,9,0.7971731200897867,0.09125709758177389,0.7528186757889604,0.13837369506215172,0.24718132421103953,0.13837369506215172,2044,False
BCI IV-2a,seed_ensemble,Seed ensemble,0.8,9,0.7740600448933781,0.0992392624700733,0.7687014791500971,0.13973489878836218,0.23129852084990274,0.13973489878836215,1984,False
BCI IV-2a,stronger_teacher,stronger_teacher,0.8,9,0.6183361391694724,0.3553779084135421,0.6344311771915828,0.24010628301192516,0.36556882280841724,0.24010628301192513,1599,False
BCI IV-2a,swa_ema,swa_ema,0.8,9,0.7903689674523008,0.09366138349740358,0.7527990860382839,0.14558789812157563,0.24720091396171595,0.14558789812157563,2027,False
BCI IV-2a,teacher_student_mixture,Teacher/student,0.8,9,0.6846941638608306,0.17097862886958207,0.7825460091774894,0.13152210248831203,0.21745399082251074,0.13152210248831203,1753,False
BCI IV-2a,validation_selected_portfolio,Portfolio,0.8,9,0.7362514029180696,0.16847671952707338,0.7738590029649728,0.15042410092795283,0.22614099703502724,0.15042410092795283,1886,False
BCI IV-2a,architecture,architecture,0.9,9,0.8819444444444443,0.05351679639674487,0.7431026100201784,0.14190056072687326,0.2568973899798215,0.14190056072687326,2263,False
BCI IV-2a,augmentation,Augmentation,0.9,9,0.8928170594837262,0.059856141048867155,0.7464874744770571,0.14365892530676752,0.2535125255229429,0.14365892530676755,2291,False
BCI IV-2a,baseline,Baseline,0.9,9,0.8905723905723905,0.06022380209620057,0.7308123928127397,0.13892190678621621,0.2691876071872603,0.13892190678621621,2285,False
BCI IV-2a,brier_loss,brier_loss,0.9,9,0.8901865881032547,0.06416391150438915,0.7363214666741011,0.13383667611300468,0.26367853332589886,0.13383667611300465,2284,False
BCI IV-2a,calibration_checkpoint,calibration_checkpoint,0.9,9,0.8767185746352414,0.07936781923398344,0.7267395414779375,0.1374715650892968,0.27326045852206243,0.1374715650892968,2249,False
BCI IV-2a,calibration_grid,calibration_grid,0.9,9,0.8694234006734006,0.0593527615231411,0.7171991181655866,0.14583169006818145,0.2828008818344135,0.14583169006818147,2231,False
BCI IV-2a,crop_aggregation,crop_aggregation,0.9,9,0.8878367003367004,0.0633387794754814,0.7342910217749543,0.13480078792459907,0.26570897822504574,0.13480078792459904,2278,False
BCI IV-2a,seed_ensemble,Seed ensemble,0.9,9,0.8793841189674523,0.057744630086726194,0.7468532289642531,0.14150956507411913,0.25314677103574695,0.1415095650741191,2256,False
BCI IV-2a,stronger_teacher,stronger_teacher,0.9,9,0.7187149270482603,0.3215612659319244,0.597236667495047,0.23980014263118216,0.40276333250495294,0.23980014263118216,1858,False
BCI IV-2a,swa_ema,swa_ema,0.9,9,0.9045664983164983,0.056739993277353545,0.724268263790798,0.1436164578887955,0.27573173620920194,0.14361645788879548,2321,False
BCI IV-2a,teacher_student_mixture,Teacher/student,0.9,9,0.8263888888888888,0.10403798636224182,0.7606007032454959,0.12766262463087702,0.2393992967545041,0.127662624630877,2119,False
BCI IV-2a,validation_selected_portfolio,Portfolio,0.9,9,0.874368686868687,0.07743564475527691,0.7537915260139025,0.15037157321651384,0.2462084739860975,0.15037157321651384,2243,False
BNCI2014_001,augmentation,Augmentation,0.4,9,0.44483024691358025,0.06991439067947094,0.8195929688135167,0.18266920347805243,0.18040703118648327,0.18266920347805243,1153,False
BNCI2014_001,baseline,Baseline,0.4,9,0.4741512345679013,0.08251123412632506,0.8046046453251046,0.20373292061217443,0.19539535467489547,0.20373292061217446,1229,False
BNCI2014_001,seed_ensemble,Seed ensemble,0.4,9,0.4436728395061728,0.09611051146763787,0.818668273473977,0.18848071963511012,0.18133172652602297,0.18848071963511012,1150,False
BNCI2014_001,teacher_student_mixture,Teacher/student,0.4,9,0.40316358024691357,0.07528389279117832,0.8290971774529031,0.18166127892217435,0.17090282254709688,0.18166127892217437,1045,False
BNCI2014_001,validation_selected_portfolio,Portfolio,0.4,9,0.4216820987654321,0.09526118445212652,0.8248244847605416,0.18498770929131217,0.1751755152394584,0.18498770929131217,1093,False
BNCI2014_001,augmentation,Augmentation,0.6,9,0.597608024691358,0.09836525554637914,0.7910942948298719,0.17386945300221582,0.20890570517012796,0.17386945300221582,1549,False
