dataset,subject,method,method_label,target_coverage,threshold,threshold_source,threshold_selection_split,eval_labels_used_for_threshold,heldout_curve_type,val_coverage,val_selective_accuracy,val_risk,heldout_coverage,heldout_selective_accuracy,heldout_risk,heldout_n_covered,heldout_accuracy_all,mean_val_confidence,mean_heldout_confidence,source_file
BCI IIIa,k6b,teacher_student_mixture,Teacher/student,0.8,0.39616433376318716,validation_confidence_quantile,validation,False,validation_selected_threshold,0.75,0.5,0.5,0.8571428571428571,0.7222222222222222,0.2777777777777778,36,0.7142857142857143,0.5369833465619129,0.579114519830684,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
BCI IIIa,k6b,teacher_student_mixture,Teacher/student,0.9,0.3573531237047398,validation_confidence_quantile,validation,False,validation_selected_threshold,0.875,0.5714285714285714,0.42857142857142855,0.9047619047619048,0.7105263157894737,0.2894736842105263,38,0.7142857142857143,0.5369833465619129,0.579114519830684,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
BCI IIIa,k6b,validation_selected_portfolio,Portfolio,0.4,0.6261060379287893,validation_confidence_quantile,validation,False,validation_selected_threshold,0.375,0.8333333333333334,0.16666666666666666,0.40476190476190477,0.9411764705882353,0.058823529411764705,17,0.6904761904761905,0.5798301347076005,0.6226397721069167,results/paper_calibration_stats/validation_selected_portfolio/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
BCI IIIa,k6b,validation_selected_portfolio,Portfolio,0.6,0.5201897005729761,validation_confidence_quantile,validation,False,validation_selected_threshold,0.5625,0.5555555555555556,0.4444444444444444,0.5714285714285714,0.875,0.125,24,0.6904761904761905,0.5798301347076005,0.6226397721069167,results/paper_calibration_stats/validation_selected_portfolio/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
BCI IIIa,k6b,validation_selected_portfolio,Portfolio,0.8,0.4621730446815491,validation_confidence_quantile,validation,False,validation_selected_threshold,0.75,0.5,0.5,0.6428571428571429,0.8148148148148148,0.18518518518518517,27,0.6904761904761905,0.5798301347076005,0.6226397721069167,results/paper_calibration_stats/validation_selected_portfolio/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
BCI IIIa,k6b,validation_selected_portfolio,Portfolio,0.9,0.41703868067651495,validation_confidence_quantile,validation,False,validation_selected_threshold,0.875,0.5714285714285714,0.42857142857142855,0.8333333333333334,0.7714285714285715,0.22857142857142856,35,0.6904761904761905,0.5798301347076005,0.6226397721069167,results/paper_calibration_stats/validation_selected_portfolio/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectk6b_probabilities.npz
BCI IIIa,l1b,augmentation,Augmentation,0.4,0.7242369631559487,validation_confidence_quantile,validation,False,validation_selected_threshold,0.375,0.5,0.5,0.11904761904761904,1.0,0.0,5,0.7142857142857143,0.641484367848425,0.5771850037251968,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
BCI IIIa,l1b,augmentation,Augmentation,0.6,0.6184549314385608,validation_confidence_quantile,validation,False,validation_selected_threshold,0.5625,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.0,14,0.7142857142857143,0.641484367848425,0.5771850037251968,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
BCI IIIa,l1b,augmentation,Augmentation,0.8,0.5179742700116067,validation_confidence_quantile,validation,False,validation_selected_threshold,0.75,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.8571428571428571,0.14285714285714285,28,0.7142857142857143,0.641484367848425,0.5771850037251968,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
BCI IIIa,l1b,augmentation,Augmentation,0.9,0.47800817729526623,validation_confidence_quantile,validation,False,validation_selected_threshold,0.875,0.7142857142857143,0.2857142857142857,0.8095238095238095,0.7941176470588235,0.20588235294117646,34,0.7142857142857143,0.641484367848425,0.5771850037251968,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
BCI IIIa,l1b,baseline,Baseline,0.4,0.6281966029498409,validation_confidence_quantile,validation,False,validation_selected_threshold,0.375,0.6666666666666666,0.3333333333333333,0.38095238095238093,0.875,0.125,16,0.6428571428571429,0.6176669336600107,0.623881401981832,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
BCI IIIa,l1b,baseline,Baseline,0.6,0.5675195561259903,validation_confidence_quantile,validation,False,validation_selected_threshold,0.5625,0.6666666666666666,0.3333333333333333,0.6190476190476191,0.7692307692307693,0.23076923076923078,26,0.6428571428571429,0.6176669336600107,0.623881401981832,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
BCI IIIa,l1b,baseline,Baseline,0.8,0.47268143263225343,validation_confidence_quantile,validation,False,validation_selected_threshold,0.75,0.5833333333333334,0.4166666666666667,0.8571428571428571,0.7222222222222222,0.2777777777777778,36,0.6428571428571429,0.6176669336600107,0.623881401981832,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
BCI IIIa,l1b,baseline,Baseline,0.9,0.43215679156429787,validation_confidence_quantile,validation,False,validation_selected_threshold,0.875,0.5714285714285714,0.42857142857142855,0.8571428571428571,0.7222222222222222,0.2777777777777778,36,0.6428571428571429,0.6176669336600107,0.623881401981832,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
BCI IIIa,l1b,seed_ensemble,Seed ensemble,0.4,0.7002694017256326,validation_confidence_quantile,validation,False,validation_selected_threshold,0.375,0.6666666666666666,0.3333333333333333,0.35714285714285715,1.0,0.0,15,0.7142857142857143,0.6461870300030222,0.634150558430797,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
BCI IIIa,l1b,seed_ensemble,Seed ensemble,0.6,0.6008233850584134,validation_confidence_quantile,validation,False,validation_selected_threshold,0.5625,0.6666666666666666,0.3333333333333333,0.5238095238095238,0.9090909090909091,0.09090909090909091,22,0.7142857142857143,0.6461870300030222,0.634150558430797,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
BCI IIIa,l1b,seed_ensemble,Seed ensemble,0.8,0.5237409560264434,validation_confidence_quantile,validation,False,validation_selected_threshold,0.75,0.75,0.25,0.7619047619047619,0.8125,0.1875,32,0.7142857142857143,0.6461870300030222,0.634150558430797,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
BCI IIIa,l1b,seed_ensemble,Seed ensemble,0.9,0.476339978480264,validation_confidence_quantile,validation,False,validation_selected_threshold,0.875,0.7142857142857143,0.2857142857142857,0.8571428571428571,0.7222222222222222,0.2777777777777778,36,0.7142857142857143,0.6461870300030222,0.634150558430797,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
BCI IIIa,l1b,teacher_student_mixture,Teacher/student,0.4,0.5747135877609253,validation_confidence_quantile,validation,False,validation_selected_threshold,0.375,0.6666666666666666,0.3333333333333333,0.5238095238095238,0.8636363636363636,0.13636363636363635,22,0.7380952380952381,0.5576215097553501,0.5851976043224475,results/calibration_workflow_bci_iiia/probabilities/validation_only_selection_bci_iiia_subjectl1b_probabilities.npz
