dataset,subject,experiment_key,AUROC,accuracy
bci4_2a,3,cbramod_frozen_randinit_p4,0.5429848251028807,0.3055555555555556
bci4_2a,4,cbramod_frozen_randinit_p4,0.5293692129629629,0.2847222222222222
bci4_2a,5,cbramod_frozen_randinit_p4,0.5655060442386831,0.2638888888888889
bci4_2a,6,cbramod_frozen_randinit_p4,0.5194347993827161,0.2673611111111111
bci4_2a,7,cbramod_frozen_randinit_p4,0.6171553497942388,0.3784722222222222
bci4_2a,8,cbramod_frozen_randinit_p4,0.5586259002057614,0.3125
bci4_2a,9,cbramod_frozen_randinit_p4,0.5376961162551441,0.28125
bci4_2a,1,labram_frozen_p2,0.6265592849794238,0.3368055555555556
bci4_2a,2,labram_frozen_p2,0.5372781635802469,0.2708333333333333
bci4_2a,3,labram_frozen_p2,0.6279738940329218,0.3784722222222222
bci4_2a,4,labram_frozen_p2,0.5528870884773662,0.3020833333333333
bci4_2a,5,labram_frozen_p2,0.5503150720164609,0.3055555555555556
bci4_2a,6,labram_frozen_p2,0.5440136316872428,0.2951388888888889
bci4_2a,7,labram_frozen_p2,0.5678851594650205,0.3055555555555556
bci4_2a,8,labram_frozen_p2,0.6045685442386831,0.375
bci4_2a,9,labram_frozen_p2,0.6854906121399176,0.4201388888888889
bci4_2a,1,labram_frozen_p4,0.578928755144033,0.2986111111111111
bci4_2a,2,labram_frozen_p4,0.5524209104938271,0.2638888888888889
bci4_2a,3,labram_frozen_p4,0.6038451646090535,0.3298611111111111
bci4_2a,4,labram_frozen_p4,0.5750868055555556,0.3159722222222222
bci4_2a,5,labram_frozen_p4,0.5308320473251029,0.2638888888888889
bci4_2a,6,labram_frozen_p4,0.5009162808641976,0.2673611111111111
bci4_2a,7,labram_frozen_p4,0.5971900720164609,0.3576388888888889
bci4_2a,8,labram_frozen_p4,0.5754726080246914,0.2986111111111111
bci4_2a,9,labram_frozen_p4,0.6897344393004116,0.4548611111111111
bci4_2a,1,labram_frozen_randinit_p2,0.6382298096707819,0.3298611111111111
bci4_2a,2,labram_frozen_randinit_p2,0.5297550154320988,0.28125
bci4_2a,3,labram_frozen_randinit_p2,0.5620016718106996,0.3194444444444444
bci4_2a,4,labram_frozen_randinit_p2,0.589281121399177,0.2986111111111111
bci4_2a,5,labram_frozen_randinit_p2,0.5808738425925926,0.3298611111111111
bci4_2a,6,labram_frozen_randinit_p2,0.6029610339506173,0.3506944444444444
bci4_2a,7,labram_frozen_randinit_p2,0.5932195216049383,0.3194444444444444
bci4_2a,8,labram_frozen_randinit_p2,0.5648951903292181,0.28125
bci4_2a,9,labram_frozen_randinit_p2,0.5174254115226338,0.28125
bci4_2a,1,labram_frozen_randinit_p4,0.611545138888889,0.3506944444444444
